exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Bodyweight In and Out Jump Squat,Novice,Quadriceps,Bodyweight,Standing,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Bilateral,Plyometric
Miniband Thigh In and Out Jump Squat,Novice,Abductors,Miniband,Standing,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Push,Compound,Bilateral,Plyometric
Miniband Ankle In and Out Jump Squat,Intermediate,Abductors,Miniband,Standing,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Abduction,Lower Body,Push,Compound,Bilateral,Plyometric
Resistance Band Alternating Hammer Curl,Beginner,Biceps,Resistance Band,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Resistance Band Y Raise,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Pull,Compound,Bilateral,Unsorted*
Battle Rope Split Squat Isometric Power Slam,Intermediate,Abdominals,Battle Ropes,Split Squat Isometric,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Full Body,Other,Compound,Unilateral,Balance
Battle Rope Alternating Split Squat Jump Alternating Wave,Intermediate,Quadriceps,Battle Ropes,Split Squat,Double Arm,Alternating,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Unilateral,Plyometric
Battle Rope Alternating Split Squat Jump Power Slam,Intermediate,Quadriceps,Battle Ropes,Split Squat,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Knee Dominant,Full Body,Other,Compound,Unilateral,Plyometric
Single Arm Kettlebell Front Rack Contralateral Cossack Squat,Novice,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Resistance Band Cuban Press,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Single Arm Kettlebell Overhead Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Resistance Band Tall Kneeling Cuban Press,Beginner,Shoulders,Resistance Band,Tall Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Superband Pull Apart,Beginner,Shoulders,Superband,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Shoulder Abduction,Upper Body,Pull,Isolation,Bilateral,Mobility
Resistance Band Tall Kneeling Face Pull,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Resistance Band Overhead Press,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Resistance Band Alternating Overhead Press,Beginner,Shoulders,Resistance Band,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Dumbbell Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Suspension Skull Crusher,Beginner,Triceps,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Slider Double Dumbbell Front Rack Lateral Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Suitcase Lateral Lunge,Novice,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Double Dumbbell Overhead Lateral Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Other,Compound,Unilateral,Bodybuilding
Double Dumbbell Skull Crusher,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Incline Bench Skull Crusher,Beginner,Triceps,Dumbbell,Seated,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Decline Bench Skull Crusher,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Skull Crusher,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Incline Bench Skull Crusher,Beginner,Triceps,Dumbbell,Seated,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Decline Bench Skull Crusher,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Bent Over Row,Beginner,Back,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
EZ Bar Reverse Grip Bent Over Row,Beginner,Back,EZ Bar,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Overhead Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Foot Elevated Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Bent Over Row,Beginner,Back,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Knee Supported Row,Beginner,Back,Dumbbell,Knee Supported,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Overhead Foot Elevated Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Front Rack Foot Elevated Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Overhead Foot Elevated Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Pullover,Beginner,Back,Dumbbell,Supine,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Dumbbell Incline Bench Pullover,Beginner,Back,Dumbbell,Seated,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Overhead Low Switch Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Tire Incline Push Up,Beginner,Chest,Tire,Prone,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Close Grip Decline Bench Press,Beginner,Triceps,Dumbbell,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Bodyweight Eccentric Push Up,Beginner,Chest,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Bicep Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Knee Hover Quadruped Fire Hydrant,Advanced,Glutes,Cable,Knee Hover Quadruped,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Unsorted*
Double Dumbbell Incline Bench Bicep Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Seated Hammer Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Seated Hammer Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Double Dumbbell Incline Bench Hammer Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Half Kneeling Windmill,Intermediate,Abdominals,Dumbbell,Half Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Grinds
Double Dumbbell Windmill,Advanced,Abdominals,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Grinds
Alternating Double Dumbbell Incline Bench Hammer Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Double Dumbbell Cyclist Thruster,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Full Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,Advanced,Quadriceps,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Cyclist Thruster,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Alternating,Neutral,Continuous,Heels Elevated,Single Exercise,Knee Dominant,Full Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Goblet Alternating Pistol Squat,Advanced,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Goblet,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Balance
Kettlebell Goblet Pistol Squat,Advanced,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Goblet,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Balance
Kettlebell Horn Grip Alternating Pistol Squat,Advanced,Quadriceps,Kettlebell,Single Leg Standing,Double Arm,Continuous,Horn Grip,Alternating,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Unilateral,Balance
Single Arm Dumbbell Bent Press,Intermediate,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Unsorted*,Push,Compound,Unilateral,Grinds
Single Arm Dumbbell Half Kneeling Bent Press,Intermediate,Shoulders,Dumbbell,Half Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Unsorted*,Push,Compound,Unilateral,Grinds
Double Dumbbell Seated Zottman Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Tricep Pushdown,Beginner,Triceps,Cable,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Cable Straight Bar Reverse Grip Tricep Pushdown,Beginner,Triceps,Cable,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Zottman Curl,Beginner,Biceps,Dumbbell,Standing,Double Arm,Alternating,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Alternating Double Dumbbell Seated Zottman Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Alternating,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Dumbbell Crush Grip Tall Kneeling Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Tall Kneeling,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Dumbbell Seated Overhead Press,Beginner,Shoulders,Dumbbell,Seated,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Seated Bicep Curl,Beginner,Biceps,Dumbbell,Seated,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
